entry_time,entry_price,exit_time,exit_price,pnl_abs,pnl_pct,reason
2023-05-23 20:00:00+00:00,236.43,2023-06-06 08:00:00+00:00,235.56,-367.97360741022567,-0.0036797360741022567,signal
2023-06-13 08:00:00+00:00,242.83,2023-06-21 04:00:00+00:00,240.77,-845.2084765833424,-0.008483301074825932,signal
2023-07-03 20:00:00+00:00,243.33,2023-08-16 12:00:00+00:00,256.61,5391.398273638944,0.05457609008342575,signal
2023-08-28 12:00:00+00:00,267.0,2023-09-07 16:00:00+00:00,259.01,-3117.5428739897616,-0.029925093632958793,signal
2023-09-29 04:00:00+00:00,260.96,2023-11-29 12:00:00+00:00,277.57,6432.471580981932,0.06364960147149008,signal
2023-12-22 04:00:00+00:00,270.56,2024-01-24 16:00:00+00:00,273.95,1346.842701062982,0.012529568302779391,signal
2024-01-31 16:00:00+00:00,276.17,2024-03-20 16:00:00+00:00,295.07,7448.585167094672,0.06843610819422805,signal
2024-03-29 04:00:00+00:00,298.56,2024-05-03 04:00:00+00:00,306.35,3034.19072158949,0.026091907824223038,signal
2024-05-08 12:00:00+00:00,310.9,2024-05-30 20:00:00+00:00,316.63,2199.161900215462,0.018430363460919988,signal
2024-06-25 12:00:00+00:00,319.21,2024-07-10 04:00:00+00:00,317.62,-605.3064169815771,-0.0049810469596815845,signal
2024-09-10 16:00:00+00:00,261.1,2024-09-13 08:00:00+00:00,250.45,-4932.064312625211,-0.04078896974339349,signal
2024-11-08 12:00:00+00:00,252.8,2024-11-19 12:00:00+00:00,240.45,-5666.175830751061,-0.048852848101265826,signal
2024-12-09 08:00:00+00:00,237.62,2024-12-11 04:00:00+00:00,230.05,-3514.477433358523,-0.03185758774513922,signal
2024-12-20 12:00:00+00:00,257.17,2025-02-04 20:00:00+00:00,277.4,8401.613427608332,0.07866391880857006,signal
2025-02-05 20:00:00+00:00,282.88,2025-03-03 04:00:00+00:00,302.79,8108.532947101252,0.07038320135746619,signal
2025-03-04 16:00:00+00:00,316.69,2025-03-26 12:00:00+00:00,315.94,-292.0380682234827,-0.0023682465502541843,signal
2025-05-12 12:00:00+00:00,310.46,2025-05-21 20:00:00+00:00,303.98,-2567.7466432130022,-0.020872254074598768,signal
2025-06-25 16:00:00+00:00,313.6,2025-07-08 16:00:00+00:00,310.56,-1167.6688765647996,-0.009693877551020521,signal
2025-07-15 16:00:00+00:00,319.8,2025-07-18 04:00:00+00:00,303.56,-6057.580642515881,-0.05078173858661672,stop_loss
2025-08-07 08:00:00+00:00,314.66,2025-08-21 16:00:00+00:00,309.47,-1867.598615195544,-0.01649399351681192,signal
2025-09-08 16:00:00+00:00,312.87,2025-09-11 08:00:00+00:00,307.17,-2028.8300733682263,-0.018218429379614456,signal
2025-10-16 20:00:00+00:00,302.91,2025-10-23 04:00:00+00:00,287.26,-5648.723887884931,-0.0516655112079497,stop_loss
2025-10-30 20:00:00+00:00,296.12,2025-11-17 16:00:00+00:00,294.73,-486.6964971473353,-0.00469404295555845,signal
2025-11-18 08:00:00+00:00,301.0,2025-12-04 12:00:00+00:00,301.95,325.70533634652384,0.0031561461794019133,signal
2025-12-05 08:00:00+00:00,307.35,2025-12-29 12:00:00+00:00,299.2,-2745.1159553232137,-0.02651700016268105,signal
2026-01-16 20:00:00+00:00,301.52,2026-02-20 12:00:00+00:00,313.52,4010.7888237398583,0.03979835500132663,eod
